Epoch [169/300], Loss: 0.5828
Epoch [170/300], Loss: 0.5822
Epoch [171/300], Loss: 0.5816
Epoch [172/300], Loss: 0.5811
Epoch [173/300], Loss: 0.5805
Epoch [174/300], Loss: 0.5799
Epoch [175/300], Loss: 0.5793
Epoch [176/300], Loss: 0.5788
Epoch [177/300], Loss: 0.5782
Epoch [178/300], Loss: 0.5776
Epoch [179/300], Loss: 0.5770
Epoch [180/300], Loss: 0.5765
Epoch [181/300], Loss: 0.5759
Epoch [182/300], Loss: 0.5753
Epoch [183/300], Loss: 0.5747
Epoch [184/300], Loss: 0.5742
Epoch [185/300], Loss: 0.5736
Epoch [186/300], Loss: 0.5730
Epoch [187/300], Loss: 0.5724
Epoch [188/300], Loss: 0.5718
Epoch [189/300], Loss: 0.5712
Epoch [190/300], Loss: 0.5706
Epoch [191/300], Loss: 0.5700
Epoch [192/300], Loss: 0.5694
Epoch [193/300], Loss: 0.5688
Epoch [194/300], Loss: 0.5682
Epoch [195/300], Loss: 0.5675
Epoch [196/300], Loss: 0.5669
Epoch [197/300], Loss: 0.5663
Epoch [198/300], Loss: 0.5657
Epoch [199/300], Loss: 0.5650
Epoch [200/300], Loss: 0.5644
Epoch [201/300], Loss: 0.5637
Epoch [202/300], Loss: 0.5631
Epoch [203/300], Loss: 0.5624
Epoch [204/300], Loss: 0.5617
Epoch [205/300], Loss: 0.5611
Epoch [206/300], Loss: 0.5604
Epoch [207/300], Loss: 0.5597
Epoch [208/300], Loss: 0.5590
Epoch [209/300], Loss: 0.5583
Epoch [210/300], Loss: 0.5576
Epoch [211/300], Loss: 0.5569
Epoch [212/300], Loss: 0.5562
Epoch [213/300], Loss: 0.5555
Epoch [214/300], Loss: 0.5547
Epoch [215/300], Loss: 0.5540
Epoch [216/300], Loss: 0.5533
Epoch [217/300], Loss: 0.5525
Epoch [218/300], Loss: 0.5518
Epoch [219/300], Loss: 0.5510
Epoch [220/300], Loss: 0.5503
Epoch [221/300], Loss: 0.5495
Epoch [222/300], Loss: 0.5487
